product_id,order_id
0082684bb4a60a862baaf7a60a5845ed,1
00ab8a8b9fe219511dc3f178c6d79698,8
00d62b338366db4c4aec8547ea8f928e,1
0103863bf3441460142ec23c74388e4c,1
0105b5323d24fc655f73052694dbbb3a,5
014fcf6bd5cd4c7ee29fb3bb618c445e,1
017457b0013d01d5a5a4a020ed1f14b9,1
0292b46c30348496b1be04eeb440bdb5,2
033fe931444d66d788d53aca5b7b22d5,3
036a6272d538ae862d248339c4c9adeb,2
03706dca83513062fe74967a71b5fc78,1
04f8b8f9921310178d65bcba23fbe639,1
0502d1a36be75bd36b452f31c6ed264a,26
0533c5ec3a042521493cfb6e12d6befd,2
0538b3ea14af3cc3ee6bdaf940367cee,1
05cf9ac595f28386ee763c98cbc2bad0,1
05f581382fca988fec41f4a3de0e0fda,3
05feccd482d35726d6f80e60df25db86,3
06ddfdf210c7e0259854ee543215088d,1
0836db91ee8fd88d685b5a57bed9ede0,1
086f97beca2bb06567d542af191fa7a9,1
08a59a7c557b1b8d49e5029a337d83fd,1
090820212dfd8022d676e480bed6a61d,1
09337f4d317bae01dfa96e6d368eafc4,1
09d934535911e9af88dda1e31735379d,1
09ff539a621711667c43eba6a3bd8466,1
0a7a5763f6ee3b862ca27208f8fbbdb7,1
0ab3b52bba153ddfc7857b11c900fdea,1
0ae10ca52e6cb8745e17c11e7c43907c,1
0b1187e2f914d9317a5632dbb7c66b82,1
0b2f52bff0f8a4536a315bbdc34d8398,1
0b3f73dba78abf4576c187092dc5dc81,1
0b7fb806fe0194cc7eb473329c680e34,5
0ba14c257ad706bacadec65dfdb3b740,1
0baaa6da9c9440c4655efd0762a0edcf,1
0bb7d5c406dd6affef3cd4f5d6744844,1
0c40401eba358c9ef2ff2df80b6eab52,5
0c877471e35049402bca235e06cb8063,6
0ceb0bfefd73a9c9dc6f918182841cc1,5
0cf1296fa38622de944eb05701b4ff34,2
0e030462875259ec0cb868f7ecf1fd5e,1
0ed27993e016d4546e2038bfd75b812c,2
0f4dbfe93fbadcce71e1edce3a3e30f0,1
0fa699aaa0a38aa5d1de8e7fe04d2204,1
0fe09f32709c79ba4bf19d43c4e49515,2
10230be3f50a9367f8220d6c126f0dc6,1
10dbe0fbaa2c505123c17fdc34a63c56,1
11ea2b91f0f26a2d693ba6763a2eb4b0,1
11f683ded5ddeecdad0b81b3124c3395,1
1220978a08a6b29a202bc015b18250e9,1
124f74f703e88efe001a10bfa718b6ff,3
12ad6d9a5da40908f6741145e1a93443,1
13c68a908e3ec61b48544be41a74e8cd,1
14086fd4907ab4135efce70c2cd3c013,1
1574ed2c73e4465c572f68dd77528203,5
15f773b4fea5b2ab681b02620b0c3a95,2
1631507f13bd83d2f01e4fea424c852b,2
17823ffd2de8234f0e885a71109613a4,11
17b9f231d057710012fe28e5a1ac5186,1
17e7128a33dae59e32be411b7b4921b5,5
18aae9918a7e1d46e0c94c63a756c97c,1
18da4a6d2c9b127b43ac8616ab151aa8,2
190179a3742b4110aaa5373a873885bb,1
1913e11c70ce94032c05b17bbded599a,1
194163a8a65a48a8c95623c399a9d4a7,5
1954739d84629e7323a4295812a3e0ec,1
19ac4a7de40be5bd72347162024983f2,2
19bdfd05824c29bf495c9f5408c26635,1
19f3b74026e6ec6c83fc25e21baf454e,1
1a1dba78177cbabf00a2e1eab46e62b6,2
1a2ece70966710dec441aa587993b5b4,1
1b0e39ec889889ea1d492603d8512bfb,15
1b1654fea0a8269f9ba9a1e1258edb61,3
1b7384e0f9f5e4cb914cd3f5535a4cab,10
1b930f20f389f3e3d057b9e3e85ca83d,1
1bd0e965122ea1485d8f7f0c6792ebe0,1
1c6a5fd4bf0e4196dc0a20386c496bd3,1
1d94d1e0c7fb2dcf2811e093d2ca303b,1
1dcd65bb5dd967d7b4c6b0223cefb838,1
1e9e02777a02de03c17eb432be7daf71,1
1f5542855786adc0116f56cfd6f9f830,3
1fccfee027ea87e93eaa5b05120e9c63,1
1fde73e6b6d28627ff16e222b0044b10,2
