product_id,review_score,review_score,review_score
,max,min,mean
0082684bb4a60a862baaf7a60a5845ed,4.0,4.0,4.0
00ab8a8b9fe219511dc3f178c6d79698,5.0,2.0,3.375
00d62b338366db4c4aec8547ea8f928e,5.0,5.0,5.0
0103863bf3441460142ec23c74388e4c,1.0,1.0,1.0
0105b5323d24fc655f73052694dbbb3a,5.0,1.0,3.0
014fcf6bd5cd4c7ee29fb3bb618c445e,2.0,2.0,2.0
017457b0013d01d5a5a4a020ed1f14b9,1.0,1.0,1.0
0292b46c30348496b1be04eeb440bdb5,1.0,1.0,1.0
033fe931444d66d788d53aca5b7b22d5,5.0,5.0,5.0
036a6272d538ae862d248339c4c9adeb,5.0,4.0,4.5
03706dca83513062fe74967a71b5fc78,5.0,5.0,5.0
04f8b8f9921310178d65bcba23fbe639,5.0,5.0,5.0
0502d1a36be75bd36b452f31c6ed264a,5.0,1.0,4.153846153846154
0533c5ec3a042521493cfb6e12d6befd,5.0,5.0,5.0
0538b3ea14af3cc3ee6bdaf940367cee,3.0,3.0,3.0
05cf9ac595f28386ee763c98cbc2bad0,1.0,1.0,1.0
05f581382fca988fec41f4a3de0e0fda,4.0,1.0,2.0
05feccd482d35726d6f80e60df25db86,4.0,1.0,3.0
06ddfdf210c7e0259854ee543215088d,5.0,5.0,5.0
0836db91ee8fd88d685b5a57bed9ede0,1.0,1.0,1.0
086f97beca2bb06567d542af191fa7a9,1.0,1.0,1.0
08a59a7c557b1b8d49e5029a337d83fd,5.0,5.0,5.0
090820212dfd8022d676e480bed6a61d,5.0,5.0,5.0
09337f4d317bae01dfa96e6d368eafc4,5.0,5.0,5.0
09d934535911e9af88dda1e31735379d,5.0,5.0,5.0
09ff539a621711667c43eba6a3bd8466,5.0,5.0,5.0
0a7a5763f6ee3b862ca27208f8fbbdb7,5.0,5.0,5.0
0ab3b52bba153ddfc7857b11c900fdea,5.0,5.0,5.0
0ae10ca52e6cb8745e17c11e7c43907c,5.0,5.0,5.0
0b1187e2f914d9317a5632dbb7c66b82,2.0,2.0,2.0
0b2f52bff0f8a4536a315bbdc34d8398,4.0,4.0,4.0
0b3f73dba78abf4576c187092dc5dc81,4.0,4.0,4.0
0b7fb806fe0194cc7eb473329c680e34,5.0,4.0,4.8
0ba14c257ad706bacadec65dfdb3b740,5.0,5.0,5.0
0baaa6da9c9440c4655efd0762a0edcf,5.0,5.0,5.0
0bb7d5c406dd6affef3cd4f5d6744844,1.0,1.0,1.0
0c40401eba358c9ef2ff2df80b6eab52,1.0,1.0,1.0
0c877471e35049402bca235e06cb8063,5.0,2.0,4.0
0ceb0bfefd73a9c9dc6f918182841cc1,5.0,3.0,3.4
0cf1296fa38622de944eb05701b4ff34,5.0,4.0,4.5
0e030462875259ec0cb868f7ecf1fd5e,2.0,2.0,2.0
0ed27993e016d4546e2038bfd75b812c,5.0,3.0,4.0
0f4dbfe93fbadcce71e1edce3a3e30f0,2.0,2.0,2.0
0fa699aaa0a38aa5d1de8e7fe04d2204,4.0,4.0,4.0
0fe09f32709c79ba4bf19d43c4e49515,5.0,4.0,4.5
